Time	WOPT	WOPR	WGPT	WGPR	WGIT	WGIR	WWPT	WWPR	WWIT	WWIR	WBHP	WLPR	WLPT
0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	739.47033	49.298022	1269720	84647.997	0	0	692.17191	46.144794	0	0	200	95.442816	1431.6422
30	1376.6179	42.476506	2453578.1	78923.875	0	0	1308.1097	41.062517	0	0	200	83.539024	2684.7276
45	1971.3393	39.648095	3579393.6	75054.368	0	0	1903.1651	39.670361	0	0	200	79.318455	3874.5044
60	2544.8601	38.234719	4674645.3	73016.781	0	0	2487.0722	38.927137	0	0	200	77.161856	5031.9323
75	3101.8245	37.130957	5745632.8	71399.164	0	0	3061.015	38.262855	0	0	200	75.393812	6162.8394
90	3645.1755	36.223403	6796467.7	70055.663	0	0	3625.836	37.654738	0	0	200	73.878141	7271.0116
105	4176.8651	35.445975	7829899.5	68895.455	0	0	4182.2418	37.093714	0	0	200	72.539689	8359.1069
120	4698.2777	34.760839	8847878.1	67865.236	0	0	4730.7315	36.565982	0	0	200	71.32682	9429.0092
135	5210.3659	34.139211	9851740.8	66924.181	0	0	5271.7327	36.066751	0	0	200	70.205962	10482.099
150	5713.9023	33.569096	10842560	66054.63	0	0	5805.5742	35.589432	0	0	200	69.158529	11519.477
165	6209.4911	33.039253	11821191	65242.069	0	0	6332.5087	35.128962	0	0	200	68.168216	12542
180	6697.6124	32.541415	12788275	64472.266	0	0	6852.7725	34.684253	0	0	200	67.225668	13550.385
195	7178.6408	32.068562	13744315	63735.957	0	0	7366.5679	34.253031	0	0	200	66.321593	14545.209
210	7652.8806	31.61599	14689677	63024.165	0	0	7874.125	33.837136	0	0	200	65.453126	15527.006
225	8120.5945	31.180922	15624703	62335.069	0	0	8375.6112	33.432414	0	0	200	64.613336	16496.206
240	8581.9788	30.758957	16549586	61658.865	0	0	8871.2458	33.042306	0	0	200	63.801262	17453.225
255	9037.2391	30.350685	17464592	61000.379	0	0	9361.1516	32.660388	0	0	200	63.011073	18398.391
270	9486.5648	29.955044	18369978	60359.076	0	0	9845.4024	32.283387	0	0	200	62.238431	19331.967
285	9930.1162	29.570098	19265931	59730.209	0	0	10324.092	31.912634	0	0	200	61.482732	20254.208
300	10368.045	29.195253	20152660	59115.28	0	0	10797.291	31.546617	0	0	200	60.74187	21165.336
315	10800.476	28.828727	21030302	58509.418	0	0	11265.103	31.187473	0	0	200	60.0162	22065.579
330	11227.515	28.469279	21898959	57910.479	0	0	11727.637	30.835584	0	0	200	59.304862	22955.152
345	11649.254	28.115943	22758723	57317.598	0	0	12184.984	30.489804	0	0	200	58.605747	23834.238
360	12065.804	27.770004	23609739	56734.434	0	0	12637.178	30.14626	0	0	200	57.916264	24702.982
375	12477.256	27.430112	24452108	56157.91	0	0	13084.282	29.806937	0	0	200	57.237049	25561.538
390	12883.693	27.09581	25285932	55588.285	0	0	13526.345	29.470841	0	0	200	56.566651	26410.038
405	13285.192	26.766608	26111283	55023.394	0	0	13963.433	29.139237	0	0	200	55.905845	27248.625
420	13681.828	26.442387	26928251	54464.518	0	0	14395.576	28.809492	0	0	200	55.251879	28077.404
435	14073.668	26.122635	27736903	53910.156	0	0	14822.826	28.483366	0	0	200	54.606001	28896.494
450	14460.763	25.806363	28537339	53362.366	0	0	15245.222	28.159738	0	0	200	53.966102	29705.985
465	14843.154	25.492742	29329629	52819.382	0	0	15662.861	27.842604	0	0	200	53.335346	30506.015
480	15220.876	25.181424	30113867	52282.497	0	0	16075.817	27.530399	0	0	200	52.711823	31296.693
495	15593.966	24.872692	30890145	51751.897	0	0	16484.147	27.221963	0	0	200	52.094654	32078.113
510	15962.46	24.566282	31658536	51226.075	0	0	16887.877	26.915368	0	0	200	51.481651	32850.337
525	16326.412	24.263463	32419091	50703.615	0	0	17287.068	26.612727	0	0	200	50.876191	33613.48
540	16685.895	23.965509	33171860	50184.641	0	0	17681.73	26.310792	0	0	200	50.276302	34367.625
555	17040.994	23.673265	33916857	49666.468	0	0	18071.951	26.014746	0	0	200	49.68801	35112.945
570	17391.744	23.383343	34654154	49153.093	0	0	18457.824	25.724871	0	0	200	49.108214	35849.568
585	17738.185	23.096071	35383816	48644.146	0	0	18839.393	25.437918	0	0	200	48.533989	36577.578
600	18080.378	22.812874	36105899	48138.849	0	0	19216.714	25.154737	0	0	200	47.967611	37297.092
615	18418.375	22.53313	36820471	47638.15	0	0	19589.834	24.874689	0	0	200	47.407819	38008.209
630	18752.226	22.256705	37527602	47142.097	0	0	19958.795	24.597361	0	0	200	46.854066	38711.02
645	19082.012	21.985757	38227331	46648.608	0	0	20323.641	24.323111	0	0	200	46.308868	39405.653
660	19407.756	21.716286	38919753	46161.406	0	0	20684.433	24.052758	0	0	200	45.769043	40092.189
675	19729.528	21.451461	39604916	45677.556	0	0	21041.225	23.786118	0	0	200	45.237579	40770.753
690	20047.395	21.191117	40282891	45198.319	0	0	21394.082	23.523827	0	0	200	44.714944	41441.477
705	20361.435	20.936025	40953713	44721.488	0	0	21743.031	23.263293	0	0	200	44.199318	42104.467
720	20671.665	20.681978	41617505	44252.814	0	0	22088.136	23.007005	0	0	200	43.688982	42759.801
