Time,day	FRPV	FOIP	FGIP	FWIP	FOIPP
0	4.32889e+06	1.69063e+06	5.19249e+08	896160	1.69063e+06
15	4.32844e+06	1.68989e+06	5.17978e+08	895468	1.68989e+06
30	4.32813e+06	1.68926e+06	5.16794e+08	894852	1.68926e+06
45	4.32785e+06	1.68866e+06	5.15668e+08	894257	1.68866e+06
60	4.32759e+06	1.68809e+06	5.14573e+08	893673	1.68809e+06
75	4.32733e+06	1.68753e+06	5.13502e+08	893099	1.68753e+06
90	4.32709e+06	1.68699e+06	5.12451e+08	892535	1.68699e+06
105	4.32685e+06	1.68646e+06	5.11417e+08	891978	1.68646e+06
120	4.32662e+06	1.68593e+06	5.10399e+08	891430	1.68593e+06
135	4.3264e+06	1.68542e+06	5.09396e+08	890889	1.68542e+06
150	4.32618e+06	1.68492e+06	5.08405e+08	890355	1.68492e+06
165	4.32596e+06	1.68442e+06	5.07426e+08	889828	1.68442e+06
180	4.32575e+06	1.68393e+06	5.06459e+08	889308	1.68393e+06
195	4.32554e+06	1.68345e+06	5.05503e+08	888794	1.68345e+06
210	4.32533e+06	1.68298e+06	5.04558e+08	888286	1.68298e+06
225	4.32513e+06	1.68251e+06	5.03623e+08	887785	1.68251e+06
240	4.32493e+06	1.68205e+06	5.02698e+08	887289	1.68205e+06
255	4.32473e+06	1.6816e+06	5.01783e+08	886799	1.6816e+06
270	4.32454e+06	1.68115e+06	5.00877e+08	886315	1.68115e+06
285	4.32435e+06	1.6807e+06	4.99981e+08	885836	1.6807e+06
300	4.32416e+06	1.68026e+06	4.99095e+08	885363	1.68026e+06
315	4.32397e+06	1.67983e+06	4.98217e+08	884895	1.67983e+06
330	4.32379e+06	1.67941e+06	4.97348e+08	884433	1.67941e+06
345	4.32361e+06	1.67898e+06	4.96489e+08	883975	1.67898e+06
360	4.32343e+06	1.67857e+06	4.95638e+08	883523	1.67857e+06
375	4.32325e+06	1.67816e+06	4.94795e+08	883076	1.67816e+06
390	4.32308e+06	1.67775e+06	4.93961e+08	882634	1.67775e+06
405	4.3229e+06	1.67735e+06	4.93136e+08	882197	1.67735e+06
420	4.32273e+06	1.67695e+06	4.92319e+08	881765	1.67695e+06
435	4.32256e+06	1.67656e+06	4.9151e+08	881338	1.67656e+06
450	4.3224e+06	1.67617e+06	4.9071e+08	880915	1.67617e+06
465	4.32223e+06	1.67579e+06	4.89918e+08	880498	1.67579e+06
480	4.32207e+06	1.67541e+06	4.89133e+08	880085	1.67541e+06
495	4.3219e+06	1.67504e+06	4.88357e+08	879676	1.67504e+06
510	4.32174e+06	1.67467e+06	4.87589e+08	879273	1.67467e+06
525	4.32158e+06	1.67431e+06	4.86828e+08	878873	1.67431e+06
540	4.32142e+06	1.67395e+06	4.86075e+08	878479	1.67395e+06
555	4.32126e+06	1.67359e+06	4.8533e+08	878088	1.67359e+06
570	4.32111e+06	1.67324e+06	4.84593e+08	877703	1.67324e+06
585	4.32095e+06	1.67289e+06	4.83863e+08	877321	1.67289e+06
600	4.3208e+06	1.67255e+06	4.83141e+08	876944	1.67255e+06
615	4.32065e+06	1.67221e+06	4.82427e+08	876571	1.67221e+06
630	4.32051e+06	1.67188e+06	4.8172e+08	876202	1.67188e+06
645	4.32036e+06	1.67155e+06	4.8102e+08	875837	1.67155e+06
660	4.32022e+06	1.67122e+06	4.80328e+08	875476	1.67122e+06
675	4.32008e+06	1.6709e+06	4.79642e+08	875119	1.6709e+06
690	4.31994e+06	1.67059e+06	4.78964e+08	874766	1.67059e+06
705	4.3198e+06	1.67027e+06	4.78294e+08	874417	1.67027e+06
720	4.31967e+06	1.66996e+06	4.7763e+08	874072	1.66996e+06
