Time,day	FOPR	FOPT	FGPR	FGPT	FGIR	FGIT	FWPR	FWPT	FWIR	FWIT	FPR
0	0	0	0	0	0	0	0	0	0	0	300
15	49.8234	747.351	85345.9	1.28019e+06	0	0	45.8182	687.273	0	0	298.26
30	42.5622	1385.78	78902	2.46372e+06	0	0	41.2299	1305.72	0	0	296.825
45	39.7055	1981.37	74923.2	3.58757e+06	0	0	39.9188	1904.5	0	0	295.52
60	38.3098	2556.01	72910.3	4.68122e+06	0	0	39.1735	2492.11	0	0	294.272
75	37.2143	3114.23	71305.7	5.75081e+06	0	0	38.5037	3069.66	0	0	293.067
90	36.3135	3658.93	69973	6.8004e+06	0	0	37.8866	3637.96	0	0	291.896
105	35.542	4192.06	68822.6	7.83274e+06	0	0	37.3102	4197.61	0	0	290.755
120	34.8576	4714.92	67790.4	8.8496e+06	0	0	36.7681	4749.13	0	0	289.639
135	34.2389	5228.51	66846.7	9.8523e+06	0	0	36.2521	5292.92	0	0	288.545
150	33.6729	5733.6	65969	1.08418e+07	0	0	35.7595	5829.31	0	0	287.473
165	33.1431	6230.75	65141.8	1.1819e+07	0	0	35.2858	6358.6	0	0	286.42
180	32.6452	6720.42	64353.2	1.27843e+07	0	0	34.8289	6881.03	0	0	285.386
195	32.1725	7203.01	63592.3	1.37381e+07	0	0	34.3869	7396.83	0	0	284.369
210	31.721	7678.83	62856	1.4681e+07	0	0	33.9579	7906.2	0	0	283.369
225	31.2892	8148.16	62139	1.56131e+07	0	0	33.5411	8409.32	0	0	282.385
240	30.8695	8611.21	61439.2	1.65347e+07	0	0	33.1327	8906.31	0	0	281.416
255	30.4675	9068.22	60752	1.74459e+07	0	0	32.7338	9397.32	0	0	280.462
270	30.0768	9519.37	60081.5	1.83472e+07	0	0	32.3391	9882.4	0	0	279.522
285	29.7032	9964.92	59419.5	1.92385e+07	0	0	31.9514	10361.7	0	0	278.595
300	29.3426	10405.1	58765	2.01199e+07	0	0	31.5694	10835.2	0	0	277.682
315	28.9916	10839.9	58130.2	2.09919e+07	0	0	31.1896	11303.1	0	0	276.781
330	28.6424	11269.6	57525	2.18548e+07	0	0	30.8133	11765.3	0	0	275.892
345	28.2821	11693.8	56950.4	2.2709e+07	0	0	30.4377	12221.8	0	0	275.013
360	27.9254	12112.7	56386.8	2.35548e+07	0	0	30.0636	12672.8	0	0	274.145
375	27.5619	12526.1	55840.6	2.43924e+07	0	0	29.6905	13118.1	0	0	273.286
390	27.1918	12934	55304.3	2.5222e+07	0	0	29.3233	13558	0	0	272.435
405	26.8114	13336.2	54763.9	2.60434e+07	0	0	28.9642	13992.4	0	0	271.594
420	26.4458	13732.8	54200.6	2.68565e+07	0	0	28.6152	14421.7	0	0	270.762
435	26.0935	14124.2	53630.2	2.76609e+07	0	0	28.2786	14845.9	0	0	269.938
450	25.7522	14510.5	53057.5	2.84568e+07	0	0	27.9512	15265.1	0	0	269.123
465	25.4231	14891.9	52487	2.92441e+07	0	0	27.6313	15679.6	0	0	268.317
480	25.0988	15268.4	51925.1	3.0023e+07	0	0	27.3153	16089.3	0	0	267.517
495	24.7802	15640.1	51370	3.07935e+07	0	0	27.0001	16494.3	0	0	266.723
510	24.4681	16007.1	50822.6	3.15558e+07	0	0	26.6877	16894.6	0	0	265.934
525	24.1595	16369.5	50286.7	3.23101e+07	0	0	26.3762	17290.3	0	0	265.151
540	23.8523	16727.3	49766	3.30566e+07	0	0	26.0677	17681.3	0	0	264.38
555	23.5364	17080.3	49276.4	3.37958e+07	0	0	25.7603	18067.7	0	0	263.619
570	23.2071	17428.4	48784.9	3.45276e+07	0	0	25.4393	18449.3	0	0	262.87
585	22.8879	17771.7	48279.5	3.52517e+07	0	0	25.1262	18826.2	0	0	262.131
600	22.5805	18110.4	47766.2	3.59682e+07	0	0	24.8235	19198.5	0	0	261.403
615	22.2827	18444.7	47251.1	3.6677e+07	0	0	24.5293	19566.5	0	0	260.686
630	21.9924	18774.6	46738.1	3.73781e+07	0	0	24.241	19930.1	0	0	259.979
645	21.7082	19100.2	46228.8	3.80715e+07	0	0	23.9574	20289.5	0	0	259.282
660	21.4291	19421.6	45724	3.87574e+07	0	0	23.6789	20644.6	0	0	258.596
675	21.1547	19738.9	45224	3.94357e+07	0	0	23.4046	20995.7	0	0	257.919
690	20.8848	20052.2	44729.1	4.01067e+07	0	0	23.1343	21342.7	0	0	257.252
705	20.6194	20361.5	44239.9	4.07703e+07	0	0	22.8681	21685.7	0	0	256.595
720	20.3576	20666.9	43756.3	4.14266e+07	0	0	22.6049	22024.8	0	0	255.947
